,end_of_month,TimeGPT,TimeGPT-q-1,TimeGPT-q-2,TimeGPT-q-5,TimeGPT-q-10,TimeGPT-q-15,TimeGPT-q-20,TimeGPT-q-25,TimeGPT-q-30,TimeGPT-q-35,TimeGPT-q-40,TimeGPT-q-45,TimeGPT-q-50,TimeGPT-q-55,TimeGPT-q-60,TimeGPT-q-65,TimeGPT-q-70,TimeGPT-q-75,TimeGPT-q-80,TimeGPT-q-85,TimeGPT-q-90,TimeGPT-q-95,TimeGPT-q-97,TimeGPT-q-99
0,2018-01-31,3.2253606,0.09448965,0.16655679,0.2866687,0.5268925,0.9600064,1.4482318,1.7218065,1.8236609,2.0614982,2.571301,3.0445492,3.2253606,3.406172,3.8794203,4.389223,4.6270604,4.7289147,5.0024896,5.490715,5.9238286,6.1640525,6.2841644,6.3562317
0,2018-02-28,3.9475079,3.2313023,3.2433622,3.263462,3.303662,3.4009638,3.5145802,3.6159956,3.7076497,3.7838752,3.8292434,3.8773644,3.9475079,4.017651,4.065772,4.1111403,4.187366,4.2790203,4.3804355,4.494052,4.5913534,4.6315536,4.6516533,4.6637135
0,2018-03-31,3.3716447,2.1978276,2.2148397,2.2431936,2.2999012,2.4567535,2.6422188,2.7717662,2.856579,2.955923,3.0843294,3.215786,3.3716447,3.5275035,3.65896,3.7873664,3.8867104,3.9715233,4.1010704,4.2865357,4.4433885,4.500096,4.52845,4.545462
0,2018-04-30,0.66069233,-0.41062626,-0.38226202,-0.3349883,-0.24044088,-0.17267308,-0.11255662,-0.016236424,0.10904677,0.23150492,0.34831297,0.47299737,0.66069233,0.8483873,0.9730717,1.0898798,1.2123379,1.3376211,1.4339412,1.4940578,1.5618255,1.656373,1.7036467,1.732011
0,2018-05-31,0.3628964,-0.5687736,-0.5010802,-0.3882579,-0.18354614,-0.07303248,0.024185723,0.09813687,0.1367222,0.14583601,0.20064418,0.27258772,0.3628964,0.4532051,0.5251487,0.5799568,0.5890707,0.627656,0.7016071,0.7988253,0.909339,1.1140507,1.2268732,1.2945665
0,2018-06-30,1.1023266,-0.19157754,-0.07138435,0.12893765,0.5013525,0.7467362,0.9110406,0.9334561,0.9547806,0.9751959,1.0227981,1.0805953,1.1023266,1.124058,1.1818552,1.2294574,1.2498727,1.2711971,1.2936127,1.4579171,1.7033007,2.0757155,2.2760377,2.3962307
0,2018-07-31,1.9710418,0.90269494,0.9631406,1.0638834,1.2446135,1.3319436,1.4601644,1.659944,1.7706343,1.8070832,1.8319098,1.8523779,1.9710418,2.0897055,2.1101737,2.1350002,2.1714492,2.2821393,2.4819193,2.61014,2.6974702,2.8782,2.9789429,3.0393887
0,2018-08-31,0.42906746,-0.64287543,-0.586423,-0.49233553,-0.33739194,-0.33198914,-0.26224455,-0.07990196,0.06513962,0.17909703,0.25508466,0.31683362,0.42906746,0.54130137,0.6030503,0.6790379,0.79299533,0.9380369,1.1203796,1.190124,1.195527,1.3504705,1.4445579,1.5010104
0,2018-09-30,0.91711634,0.25227308,0.32310104,0.4411476,0.64407533,0.69775873,0.7385683,0.75684863,0.7661863,0.76807165,0.8185786,0.8873187,0.91711634,0.946914,1.0156541,1.066161,1.0680465,1.0773841,1.0956645,1.136474,1.1901574,1.3930851,1.5111318,1.5819596
0,2018-10-31,0.5548837,0.0019895912,0.030909508,0.07910937,0.16355202,0.19418785,0.22228742,0.24594855,0.28223783,0.3290505,0.34917936,0.35930178,0.5548837,0.7504657,0.76058805,0.7807169,0.8275296,0.8638189,0.88748,0.9155796,0.9462154,1.030658,1.0788579,1.1077778
