,end_of_month,TimeGPT,TimeGPT-q-1,TimeGPT-q-2,TimeGPT-q-5,TimeGPT-q-10,TimeGPT-q-15,TimeGPT-q-20,TimeGPT-q-25,TimeGPT-q-30,TimeGPT-q-35,TimeGPT-q-40,TimeGPT-q-45,TimeGPT-q-50,TimeGPT-q-55,TimeGPT-q-60,TimeGPT-q-65,TimeGPT-q-70,TimeGPT-q-75,TimeGPT-q-80,TimeGPT-q-85,TimeGPT-q-90,TimeGPT-q-95,TimeGPT-q-97,TimeGPT-q-99
0,2018-01-31,1.7921741,-0.43352017,-0.39166605,-0.32190916,-0.1823954,0.11053784,0.44730523,0.84469575,1.2905848,1.5984503,1.630269,1.6719145,1.7921741,1.9124337,1.9540792,1.9858979,2.2937634,2.7396524,3.137043,3.4738104,3.7667437,3.9062574,3.9760144,4.0178685
0,2018-02-28,1.601886,-0.89759326,-0.7141194,-0.40832967,0.20324984,0.39031303,0.45608583,0.7019245,1.0918158,1.3710415,1.4289358,1.4925461,1.601886,1.711226,1.7748363,1.8327305,2.1119561,2.5018475,2.7476861,2.8134592,3.0005221,3.6121018,3.9178917,4.1013656
0,2018-03-31,0.31702614,-1.4851726,-1.3705734,-1.1795747,-0.79757744,-0.57166666,-0.39035195,-0.3021655,-0.2884816,-0.23957223,-0.12021194,0.019000102,0.31702614,0.61505216,0.75426424,0.8736245,0.92253387,0.9362178,1.0244043,1.2057189,1.4316298,1.813627,2.0046258,2.1192248
0,2018-04-30,0.17562306,-1.2981917,-1.1940507,-1.0204825,-0.67334604,-0.48503524,-0.34210315,-0.19175553,-0.035475485,0.08303402,0.12600245,0.16533926,0.17562306,0.18590686,0.22524366,0.26821208,0.3867216,0.54300165,0.6933493,0.83628136,1.0245922,1.3717287,1.5452968,1.6494378
0,2018-05-31,0.017130613,-1.3907984,-1.3498439,-1.2815862,-1.1445887,-1.0054226,-0.8781113,-0.77154624,-0.56488883,-0.2748212,-0.16885228,-0.13192041,0.017130613,0.16618164,0.20311351,0.30908242,0.59915006,0.8058075,0.9123725,1.0396838,1.1788499,1.3158474,1.3841051,1.4250597
0,2018-06-30,0.50454843,-0.7147488,-0.6701438,-0.59580207,-0.4089516,-0.050349675,0.17807245,0.17867991,0.20923433,0.26474452,0.34105682,0.4251699,0.50454843,0.583927,0.66804004,0.74435234,0.7998625,0.8304169,0.8310244,1.0594466,1.4180485,1.6048989,1.6792406,1.7238457
0,2018-07-31,-0.82835627,-3.1998706,-3.0927768,-2.9142869,-2.5546682,-2.183173,-1.9189453,-1.8424352,-1.6934876,-1.4841756,-1.2804301,-1.0787722,-0.82835627,-0.57794034,-0.37628242,-0.172537,0.03677516,0.18572271,0.26223272,0.5264605,0.89795554,1.2575743,1.4360641,1.543158
0,2018-08-31,0.2494691,-1.1682305,-1.0555565,-0.8677667,-0.52080095,-0.3025986,-0.14804286,-0.10486875,-0.06481976,-0.027375054,0.013222021,0.055001233,0.2494691,0.44393697,0.4857162,0.52631325,0.563758,0.603807,0.64698106,0.80153674,1.0197392,1.3667048,1.5544946,1.6671686
0,2018-09-30,0.11483079,-1.2750244,-1.2640849,-1.2458526,-1.1935875,-1.0702218,-0.95285714,-0.84599435,-0.71607107,-0.56693083,-0.30837843,-0.008796479,0.11483079,0.23845805,0.53804004,0.7965924,0.9457327,1.0756559,1.1825187,1.2998834,1.423249,1.475514,1.4937464,1.5046859
0,2018-10-31,0.15546739,-0.45935905,-0.40501678,-0.31444633,-0.15873851,-0.11747958,-0.064293005,0.009766951,0.043630686,0.04399757,0.054089148,0.06782748,0.15546739,0.2431073,0.25684562,0.2669372,0.2673041,0.30116785,0.37522778,0.42841434,0.46967328,0.6253811,0.71595156,0.77029383
