,end_of_month,TimeGPT,TimeGPT-q-1,TimeGPT-q-2,TimeGPT-q-5,TimeGPT-q-10,TimeGPT-q-15,TimeGPT-q-20,TimeGPT-q-25,TimeGPT-q-30,TimeGPT-q-35,TimeGPT-q-40,TimeGPT-q-45,TimeGPT-q-50,TimeGPT-q-55,TimeGPT-q-60,TimeGPT-q-65,TimeGPT-q-70,TimeGPT-q-75,TimeGPT-q-80,TimeGPT-q-85,TimeGPT-q-90,TimeGPT-q-95,TimeGPT-q-97,TimeGPT-q-99
0,2013-01-31,0.1800859,-3.4554763,-2.8829002,-2.390453,-1.822693,-1.439628,-1.1351801,-0.87399095,-0.639435,-0.42208394,-0.21583904,-0.016294725,0.1800859,0.3764665,0.5760108,0.7822557,0.9996068,1.2341628,1.4953519,1.7997998,2.182865,2.750625,3.243072,3.815648
1,2013-02-28,0.22979192,-3.4057703,-2.833194,-2.3407469,-1.772987,-1.389922,-1.0854741,-0.8242849,-0.58972895,-0.3723779,-0.16613302,0.0334113,0.22979192,0.42617255,0.62571687,0.83196175,1.0493128,1.2838688,1.545058,1.8495059,2.232571,2.8003309,3.292778,3.865354
2,2013-03-31,0.26608047,-3.3694818,-2.7969055,-2.3044584,-1.7366984,-1.3536335,-1.0491855,-0.7879964,-0.55344045,-0.33608937,-0.12984447,0.069699846,0.26608047,0.46246108,0.6620054,0.8682503,1.0856013,1.3201573,1.5813465,1.8857944,2.2688594,2.8366194,3.3290665,3.9016428
3,2013-04-30,0.42960045,-3.2059617,-2.6333857,-2.1409385,-1.5731784,-1.1901135,-0.8856656,-0.62447643,-0.38992044,-0.1725694,0.033675503,0.23321982,0.42960045,0.6259811,0.8255254,1.0317702,1.2491213,1.4836773,1.7448665,2.0493145,2.4323792,3.0001392,3.4925864,4.0651627
4,2013-05-31,1.610984,-2.0245783,-1.452002,-0.9595549,-0.39179495,-0.008729968,0.29571792,0.5569071,0.7914631,1.0088141,1.215059,1.4146034,1.610984,1.8073646,2.006909,2.2131538,2.4305048,2.6650608,2.92625,3.2306979,3.6137629,4.181523,4.67397,5.2465463
5,2013-06-30,2.290318,-1.3452442,-0.772668,-0.2802209,0.2875391,0.67060405,0.975052,1.2362411,1.4707971,1.6881481,1.8943931,2.0939374,2.290318,2.4866986,2.686243,2.8924878,3.109839,3.344395,3.6055841,3.910032,4.293097,4.860857,5.353304,5.9258804
6,2013-07-31,2.2082176,-1.4273446,-0.8547684,-0.3623213,0.20543872,0.58850366,0.8929516,1.1541407,1.3886967,1.6060477,1.8122927,2.011837,2.2082176,2.4045982,2.6041427,2.8103874,3.0277386,3.2622945,3.5234838,3.8279316,4.2109966,4.7787566,5.2712035,5.84378
7,2013-08-31,1.3369725,-2.2985897,-1.7260135,-1.2335664,-0.6658064,-0.28274146,0.021706434,0.28289562,0.5174516,0.73480266,0.94104755,1.1405919,1.3369725,1.5333531,1.7328974,1.9391423,2.1564934,2.3910494,2.6522386,2.9566865,3.3397515,3.9075115,4.3999586,4.9725347
8,2013-09-30,0.5980496,-3.0375125,-2.4649365,-1.9724894,-1.4047294,-1.0216644,-0.71721643,-0.45602727,-0.22147131,-0.00412026,0.20212464,0.40166897,0.5980496,0.7944302,0.9939745,1.2002194,1.4175705,1.6521264,1.9133157,2.2177634,2.6008284,3.1685884,3.6610355,4.2336116
9,2013-10-31,0.053080548,-3.5824816,-3.0099056,-2.5174584,-1.9496983,-1.5666333,-1.2621855,-1.0009964,-0.76644033,-0.5490893,-0.3428444,-0.14330007,0.053080548,0.24946117,0.44900548,0.6552504,0.87260145,1.1071573,1.3683466,1.6727945,2.0558596,2.6236196,3.1160665,3.6886427
