,end_of_month,TimeGPT,TimeGPT-q-1,TimeGPT-q-2,TimeGPT-q-5,TimeGPT-q-10,TimeGPT-q-15,TimeGPT-q-20,TimeGPT-q-25,TimeGPT-q-30,TimeGPT-q-35,TimeGPT-q-40,TimeGPT-q-45,TimeGPT-q-50,TimeGPT-q-55,TimeGPT-q-60,TimeGPT-q-65,TimeGPT-q-70,TimeGPT-q-75,TimeGPT-q-80,TimeGPT-q-85,TimeGPT-q-90,TimeGPT-q-95,TimeGPT-q-97,TimeGPT-q-99
0,2013-01-31,2.254695,0.084501415,0.42629206,0.72025084,1.0591666,1.2878313,1.469567,1.6254798,1.7654945,1.8952389,2.0183535,2.1374686,2.254695,2.3719213,2.4910364,2.614151,2.7438955,2.8839102,3.039823,3.2215586,3.4502232,3.789139,4.083098,4.4248886
1,2013-02-28,2.4834554,0.3132619,0.65505254,0.9490113,1.287927,1.5165918,1.6983274,1.8542403,1.994255,2.1239994,2.247114,2.366229,2.4834554,2.6006818,2.719797,2.8429115,2.972656,3.1126707,3.2685835,3.450319,3.6789837,4.0178995,4.311858,4.653649
2,2013-03-31,4.581813,2.4116194,2.75341,3.0473688,3.3862846,3.6149492,3.7966847,3.9525976,4.0926123,4.222357,4.3454714,4.4645863,4.581813,4.6990395,4.8181543,4.941269,5.0710135,5.211028,5.366941,5.5486765,5.7773414,6.1162567,6.410216,6.7520065
3,2013-04-30,4.1147547,1.9445611,2.286352,2.5803106,2.9192264,3.147891,3.3296266,3.4855394,3.625554,3.7552986,3.8784132,3.9975283,4.1147547,4.2319813,4.351096,4.4742107,4.6039553,4.74397,4.899883,5.0816183,5.310283,5.6491985,5.9431577,6.2849483
4,2013-05-31,6.1558256,3.9856322,4.3274226,4.6213818,4.960297,5.188962,5.3706975,5.5266104,5.666625,5.7963696,5.919484,6.038599,6.1558256,6.273052,6.392167,6.5152817,6.645026,6.785041,6.9409537,7.1226892,7.351354,7.6902695,7.9842286,8.326019
5,2013-06-30,3.2841988,1.1140052,1.4557959,1.7497547,2.0886705,2.3173351,2.4990706,2.6549835,2.7949982,2.9247427,3.0478573,3.1669724,3.2841988,3.4014251,3.5205402,3.6436548,3.7733994,3.913414,4.069327,4.2510624,4.4797273,4.8186426,5.1126018,5.4543924
6,2013-07-31,2.0077114,-0.16248211,0.17930853,0.47326735,0.812183,1.0408478,1.2225834,1.3784963,1.5185109,1.6482553,1.77137,1.8904849,2.0077114,2.1249378,2.244053,2.3671675,2.496912,2.6369267,2.7928395,2.974575,3.2032397,3.5421555,3.8361142,4.177905
7,2013-08-31,0.36555946,-1.8046341,-1.4628434,-1.1688846,-0.8299689,-0.6013041,-0.41956857,-0.26365566,-0.123641066,0.0061033387,0.12921809,0.24833304,0.36555946,0.48278588,0.6019008,0.7250156,0.85476,0.9947746,1.1506875,1.3324231,1.5610878,1.9000036,2.1939623,2.535753
8,2013-09-30,0.7793522,-1.3908414,-1.0490507,-0.7550919,-0.4161762,-0.18751138,-0.0057758535,0.15013705,0.29015166,0.41989607,0.54301083,0.66212577,0.7793522,0.8965786,1.0156935,1.1388083,1.2685527,1.4085673,1.5644802,1.7462158,1.9748806,2.3137963,2.607755,2.9495456
9,2013-10-31,0.8163811,-1.3538125,-1.0120218,-0.718063,-0.3791473,-0.15048248,0.031253055,0.18716596,0.32718056,0.45692497,0.58003974,0.6991547,0.8163811,0.9336075,1.0527225,1.1758372,1.3055816,1.4455962,1.6015091,1.7832447,2.0119095,2.350825,2.644784,2.9865746
10,2013-11-30,0.38916862,-1.7810249,-1.4392343,-1.1452755,-0.80635977,-0.57769495,-0.3959594,-0.24004652,-0.100031905,0.0297125,0.15282725,0.2719422,0.38916862,0.50639504,0.62551,0.74862474,0.87836915,1.0183837,1.1742966,1.3560323,1.584697,1.9236127,2.2175715,2.5593622
11,2013-12-31,0.6265105,-1.543683,-1.2018924,-0.9079336,-0.5690179,-0.34035307,-0.15861754,-0.0027046322,0.13730998,0.26705438,0.39016914,0.5092841,0.6265105,0.7437369,0.86285186,0.9859666,1.115711,1.2557256,1.4116385,1.5933741,1.8220389,2.1609545,2.4549134,2.796704
12,2014-01-31,1.0121303,-1.1580633,-0.8162726,-0.52231383,-0.18339813,0.045266684,0.22700222,0.38291514,0.5229297,0.65267414,0.7757889,0.89490384,1.0121303,1.1293567,1.2484716,1.3715863,1.5013307,1.6413454,1.7972583,1.9789939,2.2076585,2.5465744,2.840533,3.1823237
13,2014-02-28,2.1906738,0.020480305,0.36227095,0.65622973,0.99514544,1.2238102,1.4055458,1.5614587,1.7014734,1.8312178,1.9543325,2.0734475,2.1906738,2.3079002,2.4270153,2.55013,2.6798744,2.819889,2.975802,3.1575375,3.386202,3.725118,4.019077,4.3608675
14,2014-03-31,2.0951378,-0.07505569,0.26673496,0.56069374,0.89960945,1.1282742,1.3100098,1.4659227,1.6059374,1.7356818,1.8587965,1.9779114,2.0951378,2.2123642,2.3314793,2.454594,2.5843384,2.724353,2.880266,3.0620015,3.290666,3.629582,3.9235406,4.2653313
15,2014-04-30,2.045192,-0.12500152,0.21678913,0.5107479,0.8496636,1.0783284,1.260064,1.4159769,1.5559915,1.685736,1.8088506,1.9279655,2.045192,2.1624184,2.2815335,2.404648,2.5343926,2.6744072,2.8303201,3.0120556,3.2407203,3.579636,3.8735948,4.2153854
16,2014-05-31,2.6849082,0.5147146,0.8565053,1.150464,1.4893798,1.7180445,1.8997802,2.055693,2.1957076,2.325452,2.4485667,2.5676818,2.6849082,2.8021345,2.9212496,3.0443642,3.1741087,3.3141234,3.4700363,3.6517718,3.8804364,4.2193522,4.513311,4.8551016
17,2014-06-30,2.675401,0.5052074,0.8469981,1.1409569,1.4798726,1.7085373,1.890273,2.0461857,2.1862004,2.315945,2.4390595,2.5581746,2.675401,2.7926273,2.9117424,3.034857,3.1646016,3.3046162,3.460529,3.6422646,3.8709292,4.209845,4.5038037,4.8455944
18,2014-07-31,2.4395711,0.26937762,0.61116827,0.90512705,1.2440428,1.4727075,1.6544431,1.810356,1.9503707,2.080115,2.2032297,2.3223448,2.4395711,2.5567975,2.6759126,2.7990272,2.9287717,3.0687864,3.2246993,3.4064348,3.6350994,3.9740152,4.267974,4.6097646
19,2014-08-31,1.8986502,-0.27154335,0.07024729,0.3642061,0.7031218,0.9317866,1.1135222,1.269435,1.4094497,1.5391941,1.6623088,1.7814237,1.8986502,2.0158765,2.1349916,2.2581062,2.3878508,2.5278654,2.6837783,2.8655138,3.0941784,3.4330943,3.727053,4.068844
