Name,Status,7/11/93,10/21/07,10/22/17,6/30/22
Amazonas,Region,336665,375993,417365,429483
Bagua,Province,69482,71757,82193,85835
Bongará,Province,20459,27465,27085,26449
Chachapoyas,Province,45058,49700,60419,64058
Condorcanqui,Province,30520,43311,49800,52082
Luya,Province,46837,48328,48140,47081
Rodríguez de Mendoza,Province,21389,26389,32130,34099
Utcubamba,Province,102920,109043,117598,119879
Áncash,Region,955023,1063459,1139115,1194156
Aija,Province,8657,7995,6639,6170
Antonio Raimondi,Province,18912,17059,14360,13404
Asunción,Province,9846,9054,7873,7457
Bolognesi,Province,28029,30725,24940,22902
Carhuaz,Province,39721,43902,48072,50669
Carlos Fermín Fitzcarrald,Province,21026,21322,18816,17925
Casma,Province,35380,42368,53115,59605
Corongo,Province,8917,8329,7974,7906
Huaraz,Province,121028,147463,174534,190612
Huari,Province,63883,62598,62278,63382
Huarmey,Province,23858,27820,31489,33718
Huaylas,Province,50575,53729,55249,56853
Mariscal Luzuriaga,Province,23151,23292,21817,21386
Ocros,Province,7039,9196,7491,6897
Pallasca,Province,28389,29454,25027,23461
Pomabamba,Province,26276,27954,26605,26269
Recuay,Province,19234,19102,18066,17787
Santa,Province,338951,396434,451184,483774
Sihuas,Province,31963,30700,28686,28091
Yungay,Province,50188,54963,54900,55888
Apurímac,Region,381997,404190,424259,429720
Abancay,Province,95092,96064,114722,121501
Andahuaylas,Province,128390,143846,149267,151731
Antabamba,Province,12462,12267,11861,11429
Aymaraes,Province,28886,29569,25514,23276
Chincheros,Province,48481,51583,47522,45494
Cotabambas,Province,42008,45771,52978,55526
Grau,Province,26678,25090,22395,20763
Arequipa,Region,916806,1152303,1460433,1553994
Arequipa,Province,676790,864250,1137087,1226404
Camaná,Province,42403,53065,61616,63098
Caravelí,Province,27484,35928,43243,44803
Castilla,Province,36864,38425,36561,34389
Caylloma,Province,45236,73718,94776,101277
Condesuyos,Province,20695,18991,17450,16167
Islay,Province,50039,52264,55953,55360
La Unión,Province,17295,15662,13747,12496
Ayacucho,Region,492507,612489,650940,670579
Cangallo,Province,33833,34902,32812,31822
Huamanga,Province,163197,221390,294960,324901
Huanca Sancos,Province,10213,10620,8728,8113
Huanta,Province,64503,93360,95904,98088
La Mar,Province,70018,84177,76453,73649
Lucanas,Province,55830,65414,54087,50431
Parinacochas,Province,22769,30007,29119,29015
Páucar del Sara Sara,Province,10140,11012,10059,9694
Sucre,Province,12623,12595,9844,9013
Víctor Fajardo,Province,27079,25412,20805,19318
Vilcashuamán,Province,22302,23600,18169,16535
Cajamarca,Region,1259808,1387809,1427527,1454217
Cajabamba,Province,69236,74287,80630,83747
Cajamarca,Province,230049,316152,369594,392571
Celendín,Province,82436,88508,84223,82965
Chota,Province,164144,160447,152383,150552
Contumazá,Province,32698,31369,29532,28964
Cutervo,Province,143795,138213,125833,122594
Hualgayoc,Province,75806,89813,84479,82766
Jaén,Province,170261,183634,197834,205445
San Ignacio,Province,112526,131239,141474,146978
San Marcos,Province,48632,51031,51152,52012
San Miguel,Province,61160,56146,48499,45681
San Pablo,Province,24494,23114,22572,22225
Santa Cruz,Province,44571,43856,39322,37717
Callao (Provincia Constitutional del Callao),Province,639729,876877,1046953,1171648
Callao,Province,639729,876877,1046953,1171648
Cusco (Cuzco),Region,1028763,1171403,1315220,1380594
Acomayo,Province,28906,27357,24678,23732
Anta,Province,56424,54828,61353,64097
Calca,Province,56007,65407,70302,72114
Canas,Province,39476,38293,35486,34487
Canchis,Province,94962,96937,104527,107333
Chumbivilcas,Province,69669,75585,71265,69763
Cusco (Cuzco),Province,270324,367791,478494,528541
Espinar,Province,56591,62698,62196,62140
La Convención,Province,157240,166833,167701,168389
Paruro,Province,34361,30939,27496,26293
Paucartambo,Province,40696,45877,47240,47866
Quispicanchi,Province,75853,82173,97407,104148
Urubamba,Province,48254,56685,67075,71691
Huancavelica,Region,385162,454797,367252,350845
Acobamba,Province,42096,63792,40324,34179
Angaraes,Province,43060,55704,52227,51904
Castrovirreyna,Province,19738,19500,14891,13833
Churcampa,Province,44488,44903,34549,32173
Huancavelica,Province,114822,142723,120699,118575
